GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chess-minimal-project,fr.iut.pieces,Fou,0,31,0,2,0,9,0,3,0,2
chess-minimal-project,fr.iut.pieces,Roi,0,51,0,2,0,13,0,3,0,2
chess-minimal-project,fr.iut.pieces,Piece,7,42,0,2,3,9,2,4,2,3
chess-minimal-project,fr.iut.pieces,Cavalier,0,51,0,2,0,13,0,3,0,2
chess-minimal-project,fr.iut.pieces,Pion,0,44,0,4,0,13,0,4,0,2
chess-minimal-project,fr.iut.pieces,Reine,0,51,0,2,0,13,0,3,0,2
chess-minimal-project,fr.iut.pieces,Tour,0,31,0,2,0,9,0,3,0,2
chess-minimal-project,fr.iut,ChessMain,9,5,0,0,3,2,1,2,1,2
chess-minimal-project,fr.iut.plateau,Plateau,806,0,98,0,118,0,58,0,9,0
